Date,AQI,PM2_5,PM10,SO2,NO2,CO,O3,sin_day,cos_day,sin_month,cos_month
2017-02-26,72,46,82,58,63,2.23,33,-0.743144825477394,0.6691306063588585,0.8660254037844386,0.5000000000000001
2017-02-27,81,53,89,56,66,2.28,35,-0.5877852522924734,0.8090169943749473,0.8660254037844386,0.5000000000000001
2017-02-28,69,40,83,66,64,2.13,33,-0.40673664307580015,0.913545457642601,0.8660254037844386,0.5000000000000001
2017-03-01,56,20,50,32,38,1.5,67,0.20791169081775931,0.9781476007338057,1.0,6.123233995736766e-17
2017-03-02,61,32,63,54,60,1.93,34,0.40673664307580015,0.9135454576426009,1.0,6.123233995736766e-17
2017-03-03,77,43,93,66,66,2.21,33,0.5877852522924731,0.8090169943749475,1.0,6.123233995736766e-17
2017-03-04,73,39,87,67,67,2.06,27,0.7431448254773941,0.6691306063588582,1.0,6.123233995736766e-17
2017-03-05,58,28,63,62,49,1.8,45,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2017-03-06,52,27,52,52,54,1.67,37,0.9510565162951535,0.30901699437494745,1.0,6.123233995736766e-17
2017-03-07,52,26,55,46,47,1.48,43,0.9945218953682733,0.10452846326765346,1.0,6.123233995736766e-17
2017-03-08,53,27,53,42,51,1.47,42,0.9945218953682734,-0.10452846326765333,1.0,6.123233995736766e-17
2017-03-09,67,38,74,60,63,1.71,34,0.9510565162951536,-0.30901699437494734,1.0,6.123233995736766e-17
2017-03-10,75,43,88,61,70,1.93,31,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
2017-03-11,71,47,88,52,61,1.8,57,0.7431448254773945,-0.6691306063588579,1.0,6.123233995736766e-17
2017-03-12,55,26,60,27,50,1.33,50,0.5877852522924732,-0.8090169943749473,1.0,6.123233995736766e-17
2017-03-13,56,36,55,24,40,1.34,55,0.40673664307580004,-0.913545457642601,1.0,6.123233995736766e-17
2017-03-14,57,36,60,41,48,1.57,51,0.20791169081775931,-0.9781476007338057,1.0,6.123233995736766e-17
2017-03-15,77,52,84,42,60,1.74,43,5.66553889764798e-16,-1.0,1.0,6.123233995736766e-17
2017-03-16,83,60,69,25,40,1.49,56,-0.20791169081775907,-0.9781476007338057,1.0,6.123233995736766e-17
2017-03-17,66,43,76,31,51,1.78,40,-0.4067366430758002,-0.9135454576426009,1.0,6.123233995736766e-17
2017-03-18,83,56,102,35,58,1.95,51,-0.587785252292473,-0.8090169943749475,1.0,6.123233995736766e-17
2017-03-19,123,92,137,33,67,2.32,59,-0.743144825477394,-0.6691306063588585,1.0,6.123233995736766e-17
2017-03-20,106,79,98,22,50,1.86,61,-0.8660254037844385,-0.5000000000000004,1.0,6.123233995736766e-17
2017-03-21,104,77,112,27,50,2.09,62,-0.9510565162951535,-0.30901699437494756,1.0,6.123233995736766e-17
2017-03-22,104,77,90,15,35,1.75,74,-0.9945218953682733,-0.10452846326765423,1.0,6.123233995736766e-17
2017-03-23,63,41,52,13,36,1.75,56,-0.9945218953682734,0.10452846326765299,1.0,6.123233995736766e-17
2017-03-24,98,26,138,17,38,1.57,50,-0.9510565162951536,0.30901699437494723,1.0,6.123233995736766e-17
2017-03-25,59,16,65,17,33,1.23,59,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2017-03-26,53,23,49,19,44,1.34,49,-0.743144825477394,0.6691306063588585,1.0,6.123233995736766e-17
2017-03-27,70,27,89,22,47,1.48,54,-0.5877852522924734,0.8090169943749473,1.0,6.123233995736766e-17
2017-03-28,72,24,87,18,39,1.23,71,-0.40673664307580015,0.913545457642601,1.0,6.123233995736766e-17
2017-03-29,63,22,73,18,43,1.32,61,-0.20791169081775898,0.9781476007338057,1.0,6.123233995736766e-17
